Seventeenth Lok Sabha,,
Sitting Members (Alphabetical),,
Name of Member,Party Name,Constituency & State
Shri A. Raja,Dravida Munnetra Kazhagam,Nilgiris (SC)(Tamil Nadu)
Shri Narayana Swamy Abbaiah,Bharatiya Janata Party,Chitradurga (SC)(Karnataka)
Dr. Farooq Abdullah,Jammu and Kashmir National Conference,Srinagar (Jammu and Kashmir)
Shri Deepak (Dev) Adhikari,All India Trinamool Congress,Ghatal (West Bengal)
Shri Dibyendu Adhikari,All India Trinamool Congress,Tamluk (West Bengal)
Shri Sisir Kumar Adhikari,All India Trinamool Congress,Kanthi (West Bengal)
 Adv. A. M. Ariff,Communist Party of India (Marxist),Alappuzha (Kerala)
Shri Rajendra Agrawal,Bharatiya Janata Party,Meerut (Uttar Pradesh)
Shri S.S. Ahluwalia,Bharatiya Janata Party,Bardhaman-Durgapur (West Bengal)
Smt. Sajda Ahmed,All India Trinamool Congress,Uluberia (West Bengal)
Shri Guharam Ajgalley,Bharatiya Janata Party,Janjgir-Champa (SC)(Chhattisgarh)
Maulana Badruddin Ajmal,All India United Democratic Front,Dhubri (Assam)
Smt. Sumalatha Ambareesh,Independent,Mandya (Karnataka)
Smt. Mangal Suresh Angadi,Bharatiya Janata Party,Belgaum (Karnataka)
Shri C.N. Annadurai,Dravida Munnetra Kazhagam,Tiruvannamalai (Tamil Nadu)
Smt. Annpurna Devi,Bharatiya Janata Party,Kodarma (Jharkhand)
Shri Afzal Ansari,Bahujan Samaj Party,Ghazipur (Uttar Pradesh)
Shri Anto Antony,Indian National Congress,Pathanamthitta (Kerala)
Shri Gurjeet Singh Aujla,Indian National Congress,Amritsar (Punjab)
Smt. Sangeeta Azad,Bahujan Samaj Party,Lalganj (SC)(Uttar Pradesh)
Shri Bache Gowda B.N.,Bharatiya Janata Party,Chikkballapur (Karnataka)
Shri Thalikkottai Rajuthevar Baalu,Dravida Munnetra Kazhagam,Sriperumbudur (Tamil Nadu)
Shri Babul Supriyo,Bharatiya Janata Party,Asansol (West Bengal)
Smt. Harsimrat Kaur Badal,Shiromani Akali Dal,Bathinda (Punjab)
Shri Sukhbir Singh Badal,Shiromani Akali Dal,Ferozpur (Punjab)
Prof. S.P. Singh Baghel,Bharatiya Janata Party,Agra (SC)(Uttar Pradesh)
Shri Vijay Baghel,Bharatiya Janata Party,Durg (Chhattisgarh)
Shri Subhash Chandra Baheria,Bharatiya Janata Party,Bhilwara (Rajasthan)
Shri Deepak Baij,Indian National Congress,Bastar (ST)(Chhattisgarh)
Dr. Sanjeev Kumar Balyan,Bharatiya Janata Party,Muzaffarnagar (Uttar Pradesh)
Shri Sanjay Kumar Bandi,Bharatiya Janata Party,Karimnagar (Telangana)
Shri Sudip Bandyopadhyay,All India Trinamool Congress,Kolkata Uttar (West Bengal)
Shri Abhishek Banerjee,All India Trinamool Congress,Diamond Harbour (West Bengal)
Shri Kalyan Banerjee,All India Trinamool Congress,Serampore (West Bengal)
Shri Prasun Banerjee,All India Trinamool Congress,Howrah (West Bengal)
Shri Girish Bhalchandra Bapat,Bharatiya Janata Party,Pune (Maharashtra)
Shri John Barla,Bharatiya Janata Party,Alipurduars (ST)(West Bengal)
Shri Shrirang Appa Barne,Shiv Sena,Maval (Maharashtra)
Shri Shafiqur Rahman Barq,Samajwadi Party,Sambhal (Uttar Pradesh)
Shri Pradan Baruah,Bharatiya Janata Party,Lakhimpur (Assam)
Shri Gangasandra Siddappa Basavaraj,Bharatiya Janata Party,Tumkur (Karnataka)
Shri E. T. Mohammed Basheer,Indian Union Muslim League,Ponnani (Kerala)
Dr. Venkata Satyavathi Beesetti,Yuvajana Sramika Rythu Congress Party,Anakapalle (Andhra Pradesh)
Shri Chandra Sekhar Bellana,Yuvajana Sramika Rythu Congress Party,Vizianagaram (Andhra Pradesh)
Shri Hanuman Beniwal,Rashtriya Loktantrik Party,Nagaur (Rajasthan)
Shri Behanan Benny,Indian National Congress,Chalakudy (Kerala)
Shri Horen Sing Bey,Bharatiya Janata Party,Autonomous District (ST)(Assam)
