age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35.0,management,married,tertiary,no,231.0,yes,no,unknown,5.0,may,139.0,1.0,.0,.0,unknown,no
50.0,management,married,secondary,no,49.0,yes,no,unknown,5.0,may,180.0,2.0,.0,.0,unknown,no
44.0,technician,married,secondary,no,.0,yes,no,unknown,5.0,may,225.0,2.0,.0,.0,unknown,no
55.0,technician,divorced,secondary,no,.0,no,no,unknown,5.0,may,160.0,1.0,.0,.0,unknown,no
42.0,admin.,single,secondary,no,-76.0,yes,no,unknown,5.0,may,787.0,1.0,.0,.0,unknown,no
53.0,technician,divorced,secondary,no,989.0,yes,no,unknown,5.0,may,812.0,1.0,.0,.0,unknown,no
44.0,blue-collar,married,secondary,no,144.0,yes,no,unknown,5.0,may,247.0,2.0,.0,.0,unknown,no
59.0,management,divorced,tertiary,no,262.0,no,no,unknown,5.0,may,178.0,1.0,.0,.0,unknown,no
56.0,technician,divorced,unknown,no,56.0,yes,no,unknown,5.0,may,439.0,1.0,.0,.0,unknown,no
37.0,blue-collar,married,secondary,no,37.0,yes,no,unknown,5.0,may,204.0,1.0,.0,.0,unknown,no
40.0,blue-collar,married,secondary,no,1225.0,yes,no,unknown,5.0,may,558.0,5.0,.0,.0,unknown,no
45.0,technician,married,secondary,no,86.0,yes,no,unknown,5.0,may,270.0,1.0,.0,.0,unknown,no
53.0,admin.,divorced,secondary,no,1151.0,yes,no,unknown,5.0,may,412.0,1.0,.0,.0,unknown,no
38.0,services,married,secondary,no,155.0,yes,no,unknown,5.0,may,248.0,1.0,.0,.0,unknown,no
35.0,student,single,unknown,no,298.0,yes,no,unknown,5.0,may,611.0,2.0,.0,.0,unknown,no
43.0,technician,married,secondary,no,434.0,yes,no,unknown,5.0,may,117.0,1.0,.0,.0,unknown,no
49.0,management,married,tertiary,no,3237.0,yes,no,unknown,5.0,may,232.0,3.0,.0,.0,unknown,no
39.0,blue-collar,married,primary,no,279.0,yes,no,unknown,5.0,may,361.0,1.0,.0,.0,unknown,no
30.0,student,single,tertiary,no,25.0,yes,no,unknown,5.0,may,89.0,2.0,.0,.0,unknown,no
56.0,entrepreneur,divorced,secondary,no,155.0,no,no,unknown,5.0,may,118.0,3.0,.0,.0,unknown,no
55.0,services,divorced,primary,no,96.0,yes,yes,unknown,5.0,may,311.0,2.0,.0,.0,unknown,no
33.0,admin.,single,tertiary,no,193.0,no,no,unknown,5.0,may,132.0,2.0,.0,.0,unknown,no
40.0,blue-collar,single,secondary,no,436.0,yes,no,unknown,5.0,may,231.0,3.0,.0,.0,unknown,no
48.0,blue-collar,married,secondary,no,1.0,no,no,unknown,5.0,may,669.0,3.0,.0,.0,unknown,no
53.0,technician,married,secondary,no,56.0,yes,yes,unknown,5.0,may,152.0,2.0,.0,.0,unknown,no
46.0,management,single,tertiary,no,187.0,yes,no,unknown,5.0,may,113.0,2.0,.0,.0,unknown,no
46.0,technician,married,tertiary,no,841.0,yes,no,unknown,6.0,may,158.0,1.0,.0,.0,unknown,no
49.0,services,married,secondary,no,245.0,yes,yes,unknown,6.0,may,318.0,1.0,.0,.0,unknown,no
33.0,technician,married,secondary,yes,72.0,yes,no,unknown,6.0,may,623.0,1.0,.0,.0,unknown,no
39.0,admin.,single,secondary,no,113.0,yes,no,unknown,6.0,may,342.0,1.0,.0,.0,unknown,no
55.0,admin.,married,secondary,no,183.0,yes,no,unknown,6.0,may,150.0,1.0,.0,.0,unknown,no
24.0,self-employed,single,secondary,no,.0,yes,no,unknown,6.0,may,278.0,1.0,.0,.0,unknown,no
50.0,technician,married,secondary,no,797.0,yes,no,unknown,6.0,may,354.0,1.0,.0,.0,unknown,no
36.0,services,single,primary,no,58.0,yes,no,unknown,6.0,may,134.0,1.0,.0,.0,unknown,no
39.0,blue-collar,married,secondary,no,983.0,yes,no,unknown,6.0,may,97.0,1.0,.0,.0,unknown,no
51.0,blue-collar,married,primary,no,1127.0,yes,no,unknown,6.0,may,47.0,1.0,.0,.0,unknown,no
29.0,blue-collar,married,secondary,no,1.0,yes,no,unknown,6.0,may,215.0,1.0,.0,.0,unknown,no
29.0,management,single,tertiary,no,.0,yes,no,unknown,6.0,may,211.0,1.0,.0,.0,unknown,no
40.0,management,single,tertiary,no,3877.0,yes,no,unknown,6.0,may,145.0,1.0,.0,.0,unknown,no
30.0,student,single,tertiary,no,34.0,yes,no,unknown,6.0,may,289.0,1.0,.0,.0,unknown,no
52.0,blue-collar,married,secondary,no,3165.0,no,no,unknown,6.0,may,26.0,1.0,.0,.0,unknown,no
47.0,technician,married,secondary,no,83.0,yes,no,unknown,6.0,may,179.0,2.0,.0,.0,unknown,no
38.0,technician,married,unknown,no,573.0,yes,no,unknown,6.0,may,87.0,1.0,.0,.0,unknown,no
31.0,management,single,tertiary,no,1852.0,yes,no,unknown,6.0,may,170.0,3.0,.0,.0,unknown,no
33.0,services,married,tertiary,no,85.0,no,no,unknown,6.0,may,262.0,3.0,.0,.0,unknown,no
29.0,admin.,married,secondary,no,182.0,yes,yes,unknown,6.0,may,477.0,1.0,.0,.0,unknown,no
42.0,management,married,tertiary,no,.0,yes,no,unknown,6.0,may,65.0,3.0,.0,.0,unknown,no
30.0,technician,single,unknown,no,-48.0,yes,no,unknown,6.0,may,152.0,2.0,.0,.0,unknown,no
24.0,services,single,secondary,no,77.0,yes,yes,unknown,6.0,may,390.0,2.0,.0,.0,unknown,no
57.0,blue-collar,married,unknown,no,807.0,yes,no,unknown,6.0,may,211.0,2.0,.0,.0,unknown,no
42.0,technician,married,tertiary,no,239.0,yes,yes,unknown,6.0,may,191.0,3.0,.0,.0,unknown,no
42.0,admin.,married,secondary,no,445.0,yes,no,unknown,7.0,may,202.0,2.0,.0,.0,unknown,no
46.0,self-employed,married,tertiary,no,2303.0,yes,no,unknown,7.0,may,241.0,1.0,.0,.0,unknown,no
29.0,technician,married,secondary,no,8.0,no,no,unknown,7.0,may,113.0,1.0,.0,.0,unknown,no
40.0,blue-collar,divorced,secondary,no,139.0,yes,no,unknown,7.0,may,91.0,1.0,.0,.0,unknown,no
36.0,services,married,secondary,no,184.0,yes,no,unknown,7.0,may,128.0,3.0,.0,.0,unknown,no
37.0,services,single,secondary,no,259.0,yes,no,unknown,7.0,may,130.0,1.0,.0,.0,unknown,no
40.0,management,divorced,tertiary,no,490.0,yes,no,unknown,7.0,may,477.0,2.0,.0,.0,unknown,no
47.0,admin.,single,secondary,no,594.0,yes,no,unknown,7.0,may,161.0,1.0,.0,.0,unknown,no
53.0,admin.,divorced,unknown,no,236.0,yes,no,unknown,7.0,may,354.0,1.0,.0,.0,unknown,no
49.0,admin.,married,secondary,no,326.0,yes,no,unknown,7.0,may,99.0,2.0,.0,.0,unknown,no
32.0,services,married,secondary,no,.0,yes,yes,unknown,7.0,may,255.0,2.0,.0,.0,unknown,no
44.0,admin.,married,secondary,no,58544.0,yes,no,unknown,7.0,may,144.0,2.0,.0,.0,unknown,no
52.0,blue-collar,married,secondary,no,-98.0,yes,no,unknown,7.0,may,423.0,1.0,.0,.0,unknown,no
28.0,blue-collar,married,secondary,no,225.0,yes,yes,unknown,7.0,may,866.0,2.0,.0,.0,unknown,no
33.0,technician,married,secondary,no,.0,yes,no,unknown,7.0,may,432.0,1.0,.0,.0,unknown,no
46.0,admin.,divorced,secondary,no,207.0,yes,no,unknown,7.0,may,485.0,4.0,.0,.0,unknown,no
46.0,blue-collar,married,primary,no,323.0,yes,no,unknown,7.0,may,108.0,6.0,.0,.0,unknown,no
29.0,unknown,single,primary,no,50.0,yes,no,unknown,7.0,may,50.0,2.0,.0,.0,unknown,no
51.0,technician,married,secondary,no,221.0,yes,no,unknown,7.0,may,139.0,3.0,.0,.0,unknown,no
